epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2352.06,1.12977,1.00517,0.00372,0.81202,0.72276,0.81362,0.65872,0.83652,0.81149,0.0041,0.00144145,0.00144145,0.00144145
43,2405.65,1.14159,0.9992,0.00372,0.82334,0.69294,0.7947,0.63399,0.86296,0.82432,0.00431,0.00143595,0.00143595,0.00143595
44,2460.31,1.15181,1.0086,0.00383,0.81315,0.71316,0.79998,0.64292,0.86315,0.79487,0.00442,0.00143045,0.00143045,0.00143045
45,2515.28,1.13884,1.0152,0.00375,0.8119,0.73254,0.80228,0.63571,0.91595,0.79707,0.00473,0.00142495,0.00142495,0.00142495
46,2569.69,1.11307,0.97008,0.00361,0.81694,0.72484,0.80295,0.65625,0.82372,0.77503,0.00398,0.00141945,0.00141945,0.00141945
47,2624.21,1.13314,1.00295,0.00367,0.81637,0.71275,0.7951,0.63022,0.8832,0.81876,0.00431,0.00141395,0.00141395,0.00141395
48,2678.71,1.19369,1.00635,0.00399,0.81207,0.71908,0.80049,0.60028,1.02817,0.83472,0.00532,0.00140845,0.00140845,0.00140845
49,2733.29,1.17043,1.00519,0.00384,0.81188,0.71683,0.80488,0.6338,0.91083,0.80436,0.0044,0.00140295,0.00140295,0.00140295
50,2787.1,1.14812,0.9825,0.0036,0.81072,0.73432,0.80374,0.64194,0.87819,0.77799,0.00425,0.00139745,0.00139745,0.00139745
51,2842.47,1.10423,0.98377,0.00368,0.82274,0.73079,0.80826,0.64228,0.89672,0.80223,0.00471,0.00139195,0.00139195,0.00139195
52,2898.07,1.12163,0.99112,0.00366,0.81695,0.71329,0.80487,0.6411,0.90439,0.78427,0.00468,0.00138644,0.00138644,0.00138644
53,2952.74,1.10987,0.96236,0.0036,0.81777,0.724,0.80874,0.65629,0.85678,0.77947,0.00417,0.00138094,0.00138094,0.00138094
54,3007.43,1.11641,0.98372,0.00372,0.82703,0.72669,0.80479,0.64837,0.8479,0.78337,0.00399,0.00137544,0.00137544,0.00137544
55,3061.77,1.10184,0.95527,0.00355,0.79451,0.7297,0.80975,0.65939,0.81951,0.77942,0.00395,0.00136994,0.00136994,0.00136994
56,3116.83,1.14336,0.98365,0.00379,0.81316,0.72818,0.80071,0.64397,0.87531,0.80417,0.00445,0.00136444,0.00136444,0.00136444
57,3171.54,1.12108,0.96591,0.00372,0.82805,0.71856,0.80364,0.64803,0.85485,0.80876,0.00416,0.00135894,0.00135894,0.00135894
58,3226.05,1.13716,0.99602,0.00383,0.81611,0.7265,0.80461,0.65598,0.83618,0.77543,0.00417,0.00135344,0.00135344,0.00135344
59,3281.13,1.10455,0.96771,0.00374,0.81809,0.72723,0.81284,0.64708,0.89617,0.77278,0.00437,0.00134794,0.00134794,0.00134794
60,3345.06,1.14623,0.98712,0.00376,0.81671,0.73951,0.80762,0.65268,0.84202,0.78233,0.00407,0.00134244,0.00134244,0.00134244
61,3412.82,1.13881,0.97085,0.00362,0.81794,0.73224,0.80909,0.65511,0.85581,0.74828,0.00433,0.00133693,0.00133693,0.00133693
62,3478.58,1.10757,0.95848,0.00359,0.83344,0.72004,0.80811,0.65514,0.84769,0.78527,0.00439,0.00133143,0.00133143,0.00133143
63,3545.38,1.12599,0.95564,0.00369,0.82374,0.72707,0.80956,0.64958,0.84783,0.81146,0.00399,0.00132593,0.00132593,0.00132593
64,3612.29,1.12183,0.97001,0.0036,0.82256,0.71759,0.80258,0.65142,0.82197,0.76787,0.00404,0.00132043,0.00132043,0.00132043
65,3676.91,1.0815,0.94038,0.00353,0.84744,0.72783,0.81453,0.6414,0.87457,0.79215,0.00422,0.00131493,0.00131493,0.00131493
66,3743.61,1.13445,0.97311,0.00373,0.83455,0.7367,0.81434,0.66921,0.77441,0.73856,0.00358,0.00130943,0.00130943,0.00130943
67,3809.4,1.05806,0.92951,0.00351,0.83874,0.7268,0.81405,0.66388,0.80865,0.77671,0.00393,0.00130393,0.00130393,0.00130393
68,3876.85,1.08943,0.93913,0.00357,0.8157,0.74125,0.81184,0.65882,0.82931,0.80512,0.00407,0.00129843,0.00129843,0.00129843
69,3942.72,1.08769,0.93736,0.00358,0.83802,0.71118,0.80039,0.65082,0.83892,0.7631,0.004,0.00129293,0.00129293,0.00129293
70,4009.64,1.0961,0.94226,0.00376,0.83432,0.71378,0.80484,0.64856,0.85716,0.79065,0.00405,0.00128742,0.00128742,0.00128742
71,4076.35,1.0713,0.9346,0.00344,0.82834,0.7308,0.809,0.65448,0.83572,0.80491,0.00407,0.00128192,0.00128192,0.00128192
72,4142.21,1.09748,0.93667,0.00352,0.82551,0.73872,0.80851,0.65358,0.84416,0.76338,0.00426,0.00127642,0.00127642,0.00127642
