epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1889,1.44225,0.90969,0.00439,0.75587,0.61151,0.69213,0.47135,1.40877,0.86628,0.00627,0.00144145,0.00144145,0.00144145
43,1936.55,1.4404,0.90503,0.00425,0.75566,0.62433,0.70098,0.48,1.32673,0.89365,0.00608,0.00143595,0.00143595,0.00143595
44,1987.81,1.44077,0.92368,0.00429,0.77959,0.60935,0.70691,0.48402,1.36136,0.86942,0.00645,0.00143045,0.00143045,0.00143045
45,2031.82,1.44501,0.90863,0.00439,0.75641,0.6237,0.70696,0.47995,1.43076,0.86452,0.0068,0.00142495,0.00142495,0.00142495
46,2076.74,1.45383,0.91582,0.00432,0.7566,0.63797,0.71089,0.49101,1.31118,0.89014,0.00621,0.00141945,0.00141945,0.00141945
47,2121.48,1.43399,0.90426,0.00418,0.78159,0.62681,0.7076,0.47947,1.33297,0.89405,0.00608,0.00141395,0.00141395,0.00141395
48,2165.87,1.44972,0.9059,0.00435,0.75876,0.60582,0.69653,0.47167,1.41455,0.88679,0.00675,0.00140845,0.00140845,0.00140845
49,2213.31,1.4197,0.90509,0.00428,0.77656,0.61912,0.69557,0.46764,1.38832,0.92136,0.00643,0.00140295,0.00140295,0.00140295
50,2257.05,1.39889,0.89002,0.00415,0.73558,0.63722,0.69758,0.47353,1.33776,0.9082,0.00615,0.00139745,0.00139745,0.00139745
51,2302.33,1.43839,0.87959,0.00424,0.75885,0.61902,0.69643,0.45241,1.37956,0.9092,0.00619,0.00139195,0.00139195,0.00139195
52,2348.6,1.40122,0.88758,0.0043,0.74362,0.6184,0.69955,0.48831,1.29124,0.85065,0.00583,0.00138644,0.00138644,0.00138644
53,2394.63,1.42746,0.89556,0.00421,0.74861,0.61487,0.694,0.47794,1.36133,0.89162,0.00633,0.00138094,0.00138094,0.00138094
54,2442.26,1.40343,0.89315,0.00418,0.76142,0.626,0.70606,0.484,1.34027,0.85213,0.0061,0.00137544,0.00137544,0.00137544
55,2488.27,1.38201,0.88201,0.00419,0.78,0.61935,0.7125,0.50281,1.29674,0.80023,0.00602,0.00136994,0.00136994,0.00136994
56,2533.91,1.40291,0.88222,0.00422,0.7914,0.62012,0.70966,0.49156,1.27768,0.85684,0.00589,0.00136444,0.00136444,0.00136444
57,2579.6,1.41401,0.88233,0.00425,0.78366,0.62625,0.712,0.4851,1.31199,0.8244,0.00595,0.00135894,0.00135894,0.00135894
58,2624.92,1.452,0.8781,0.00425,0.79154,0.62577,0.70246,0.47069,1.37609,0.84936,0.00624,0.00135344,0.00135344,0.00135344
59,2668.61,1.38714,0.88141,0.00422,0.78285,0.61258,0.71105,0.50058,1.26916,0.87995,0.0057,0.00134794,0.00134794,0.00134794
60,2713.14,1.39753,0.87406,0.00414,0.77299,0.63848,0.71636,0.48849,1.28102,0.88285,0.00581,0.00134244,0.00134244,0.00134244
61,2757.93,1.40079,0.87047,0.00417,0.74752,0.64178,0.70593,0.47492,1.31217,0.92445,0.00597,0.00133693,0.00133693,0.00133693
62,2801.35,1.40892,0.87729,0.00422,0.79542,0.61649,0.71199,0.48169,1.30363,0.8948,0.00601,0.00133143,0.00133143,0.00133143
63,2845.58,1.38866,0.86553,0.00408,0.78814,0.62666,0.71705,0.49408,1.30665,0.89285,0.00616,0.00132593,0.00132593,0.00132593
64,2889.69,1.38358,0.87078,0.00418,0.76825,0.63819,0.71151,0.49675,1.26692,0.88095,0.00568,0.00132043,0.00132043,0.00132043
65,2933.29,1.39761,0.8775,0.0041,0.80775,0.61694,0.70979,0.49834,1.26582,0.89775,0.00574,0.00131493,0.00131493,0.00131493
