epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,259.125,1.5706,1.8295,0.00538,0.48879,0.60635,0.52716,0.264,1.6368,2.01233,0.00934,0.0017294,0.0017294,0.0017294
43,265.08,1.58442,2.04889,0.00619,0.48879,0.60635,0.52716,0.264,1.6368,2.01233,0.00934,0.0017228,0.0017228,0.0017228
44,271.41,1.66846,1.78362,0.00564,0.44093,0.65854,0.53082,0.26758,1.67476,2.01096,0.00986,0.0017162,0.0017162,0.0017162
45,277.495,1.64101,1.8953,0.0058,0.44093,0.65854,0.53082,0.26758,1.67476,2.01096,0.00986,0.0017096,0.0017096,0.0017096
46,283.286,1.55807,1.75653,0.00522,0.44093,0.65854,0.53082,0.26758,1.67476,2.01096,0.00986,0.001703,0.001703,0.001703
47,288.893,1.58769,1.81174,0.00551,0.48275,0.60976,0.52718,0.26979,1.64869,1.96259,0.00971,0.0016964,0.0016964,0.0016964
48,294.643,1.66911,1.92694,0.00581,0.48275,0.60976,0.52718,0.26979,1.64869,1.96259,0.00971,0.0016898,0.0016898,0.0016898
49,300.579,1.57324,1.72967,0.0051,0.52627,0.60976,0.55236,0.27962,1.62168,1.8929,0.00935,0.0016832,0.0016832,0.0016832
50,306.26,1.6365,1.82695,0.00563,0.52627,0.60976,0.55236,0.27962,1.62168,1.8929,0.00935,0.0016766,0.0016766,0.0016766
51,311.862,1.59235,1.74036,0.0054,0.52627,0.60976,0.55236,0.27962,1.62168,1.8929,0.00935,0.00167,0.00167,0.00167
52,317.637,1.50739,1.85927,0.00602,0.50062,0.63415,0.57928,0.27414,1.65197,1.91347,0.00967,0.0016634,0.0016634,0.0016634
53,323.455,1.59446,1.76157,0.00552,0.50062,0.63415,0.57928,0.27414,1.65197,1.91347,0.00967,0.0016568,0.0016568,0.0016568
54,329.217,1.55841,1.72813,0.00525,0.50062,0.63415,0.57928,0.27414,1.65197,1.91347,0.00967,0.0016502,0.0016502,0.0016502
55,335.008,1.63174,1.70693,0.00545,0.50563,0.60976,0.57849,0.26322,1.69249,1.89708,0.00983,0.0016436,0.0016436,0.0016436
56,340.852,1.68613,1.67598,0.00522,0.50563,0.60976,0.57849,0.26322,1.69249,1.89708,0.00983,0.001637,0.001637,0.001637
57,346.719,1.60659,1.78828,0.0061,0.56644,0.53659,0.58402,0.25964,1.72021,1.85313,0.01021,0.0016304,0.0016304,0.0016304
58,352.362,1.67168,1.63957,0.00506,0.56644,0.53659,0.58402,0.25964,1.72021,1.85313,0.01021,0.0016238,0.0016238,0.0016238
59,358.221,1.64902,1.78401,0.00636,0.56644,0.53659,0.58402,0.25964,1.72021,1.85313,0.01021,0.0016172,0.0016172,0.0016172
60,364.018,1.63603,1.6739,0.00548,0.57923,0.58199,0.62084,0.27794,1.66306,1.8697,0.0097,0.0016106,0.0016106,0.0016106
61,369.679,1.61579,1.69031,0.00569,0.57923,0.58199,0.62084,0.27794,1.66306,1.8697,0.0097,0.001604,0.001604,0.001604
62,375.487,1.58539,1.67732,0.00524,0.57923,0.58199,0.62084,0.27794,1.66306,1.8697,0.0097,0.0015974,0.0015974,0.0015974
63,381.148,1.49218,1.67192,0.00546,0.58839,0.58537,0.57065,0.25148,1.70545,1.91976,0.01016,0.0015908,0.0015908,0.0015908
64,386.831,1.70918,1.79637,0.00623,0.58839,0.58537,0.57065,0.25148,1.70545,1.91976,0.01016,0.0015842,0.0015842,0.0015842
65,392.556,1.57706,1.62175,0.00507,0.57408,0.54472,0.56504,0.2624,1.67302,1.91461,0.01001,0.0015776,0.0015776,0.0015776
66,398.301,1.69907,1.6678,0.00537,0.57408,0.54472,0.56504,0.2624,1.67302,1.91461,0.01001,0.001571,0.001571,0.001571
67,403.904,1.59794,1.72646,0.00566,0.57408,0.54472,0.56504,0.2624,1.67302,1.91461,0.01001,0.0015644,0.0015644,0.0015644
68,409.907,1.56111,1.72775,0.00584,0.61985,0.65041,0.60717,0.2743,1.70102,1.82182,0.01005,0.0015578,0.0015578,0.0015578
69,416.154,1.68981,1.66803,0.00494,0.61985,0.65041,0.60717,0.2743,1.70102,1.82182,0.01005,0.0015512,0.0015512,0.0015512
70,421.772,1.49936,1.6359,0.00524,0.61985,0.65041,0.60717,0.2743,1.70102,1.82182,0.01005,0.0015446,0.0015446,0.0015446
71,428.077,1.67397,1.74262,0.00587,0.57769,0.55608,0.57955,0.26159,1.75509,1.82119,0.01035,0.001538,0.001538,0.001538
72,434.288,1.67588,1.70843,0.00491,0.57769,0.55608,0.57955,0.26159,1.75509,1.82119,0.01035,0.0015314,0.0015314,0.0015314
73,439.954,1.54619,1.65518,0.00538,0.65693,0.53659,0.60696,0.27168,1.79411,1.75144,0.01079,0.0015248,0.0015248,0.0015248
74,445.526,1.5334,1.59895,0.00545,0.65693,0.53659,0.60696,0.27168,1.79411,1.75144,0.01079,0.0015182,0.0015182,0.0015182
75,451.451,1.63055,1.65155,0.0055,0.65693,0.53659,0.60696,0.27168,1.79411,1.75144,0.01079,0.0015116,0.0015116,0.0015116
76,457.342,1.6206,1.64167,0.00532,0.71601,0.59446,0.66499,0.3155,1.7183,1.72437,0.00986,0.001505,0.001505,0.001505
77,463.022,1.57877,1.63937,0.00552,0.71601,0.59446,0.66499,0.3155,1.7183,1.72437,0.00986,0.0014984,0.0014984,0.0014984
78,468.684,1.63964,1.63519,0.00556,0.71601,0.59446,0.66499,0.3155,1.7183,1.72437,0.00986,0.0014918,0.0014918,0.0014918
79,474.538,1.62999,1.58492,0.00513,0.76263,0.57724,0.68269,0.32167,1.64928,1.76793,0.00924,0.0014852,0.0014852,0.0014852
80,480.153,1.60964,1.59084,0.00536,0.76263,0.57724,0.68269,0.32167,1.64928,1.76793,0.00924,0.0014786,0.0014786,0.0014786
81,486.164,1.73303,1.6121,0.00541,0.56262,0.6798,0.652,0.28143,1.75263,1.80536,0.01032,0.001472,0.001472,0.001472
82,491.87,1.60799,1.5937,0.00487,0.56262,0.6798,0.652,0.28143,1.75263,1.80536,0.01032,0.0014654,0.0014654,0.0014654
83,497.621,1.6226,1.64434,0.00531,0.56262,0.6798,0.652,0.28143,1.75263,1.80536,0.01032,0.0014588,0.0014588,0.0014588
84,503.167,1.67082,1.55079,0.00524,0.54355,0.64228,0.62961,0.26711,1.77327,1.88342,0.01036,0.0014522,0.0014522,0.0014522
85,508.81,1.64741,1.5264,0.00516,0.54355,0.64228,0.62961,0.26711,1.77327,1.88342,0.01036,0.0014456,0.0014456,0.0014456
86,514.305,1.57556,1.58823,0.00539,0.54355,0.64228,0.62961,0.26711,1.77327,1.88342,0.01036,0.001439,0.001439,0.001439
87,519.96,1.57004,1.5636,0.00505,0.66825,0.56098,0.65127,0.30027,1.68467,1.79302,0.00976,0.0014324,0.0014324,0.0014324
88,525.612,1.49332,1.51537,0.00498,0.66825,0.56098,0.65127,0.30027,1.68467,1.79302,0.00976,0.0014258,0.0014258,0.0014258
89,531.483,1.56188,1.61452,0.00561,0.5693,0.66667,0.668,0.32778,1.68251,1.67294,0.00979,0.0014192,0.0014192,0.0014192
90,537.296,1.65264,1.56713,0.00502,0.5693,0.66667,0.668,0.32778,1.68251,1.67294,0.00979,0.0014126,0.0014126,0.0014126
91,543.077,1.4874,1.55361,0.00535,0.5693,0.66667,0.668,0.32778,1.68251,1.67294,0.00979,0.001406,0.001406,0.001406
92,548.883,1.54349,1.57634,0.00553,0.59827,0.66667,0.67952,0.33553,1.7041,1.5526,0.00975,0.0013994,0.0013994,0.0013994
93,554.35,1.4193,1.6061,0.00543,0.59827,0.66667,0.67952,0.33553,1.7041,1.5526,0.00975,0.0013928,0.0013928,0.0013928
94,560.287,1.57043,1.54168,0.00484,0.59827,0.66667,0.67952,0.33553,1.7041,1.5526,0.00975,0.0013862,0.0013862,0.0013862
95,565.865,1.47476,1.66213,0.00512,0.70975,0.55285,0.65429,0.32606,1.70931,1.56553,0.01001,0.0013796,0.0013796,0.0013796
96,571.622,1.48551,1.59082,0.00471,0.70975,0.55285,0.65429,0.32606,1.70931,1.56553,0.01001,0.001373,0.001373,0.001373
97,577.4,1.56126,1.55348,0.00534,0.577,0.64228,0.63107,0.31289,1.68877,1.56392,0.00984,0.0013664,0.0013664,0.0013664
98,582.85,1.46048,1.46598,0.00459,0.577,0.64228,0.63107,0.31289,1.68877,1.56392,0.00984,0.0013598,0.0013598,0.0013598
99,588.644,1.51404,1.49398,0.00495,0.577,0.64228,0.63107,0.31289,1.68877,1.56392,0.00984,0.0013532,0.0013532,0.0013532
100,594.377,1.55432,1.53049,0.00489,0.62452,0.60851,0.6691,0.32114,1.672,1.50271,0.00948,0.0013466,0.0013466,0.0013466
101,600.115,1.56016,1.49355,0.00484,0.62452,0.60851,0.6691,0.32114,1.672,1.50271,0.00948,0.00134,0.00134,0.00134
102,605.767,1.54057,1.49471,0.00497,0.62452,0.60851,0.6691,0.32114,1.672,1.50271,0.00948,0.0013334,0.0013334,0.0013334
103,611.366,1.5331,1.58974,0.00574,0.60788,0.6302,0.67359,0.34211,1.65213,1.44724,0.00946,0.0013268,0.0013268,0.0013268
104,617.23,1.5436,1.47601,0.00475,0.60788,0.6302,0.67359,0.34211,1.65213,1.44724,0.00946,0.0013202,0.0013202,0.0013202
105,623.304,1.50803,1.57979,0.0053,0.61274,0.6432,0.69003,0.34883,1.65327,1.45396,0.00983,0.0013136,0.0013136,0.0013136
106,628.976,1.45264,1.43195,0.00476,0.61274,0.6432,0.69003,0.34883,1.65327,1.45396,0.00983,0.001307,0.001307,0.001307
107,634.69,1.49662,1.50311,0.00503,0.61274,0.6432,0.69003,0.34883,1.65327,1.45396,0.00983,0.0013004,0.0013004,0.0013004
108,640.723,1.49206,1.46443,0.00482,0.60636,0.68293,0.68839,0.33859,1.67012,1.49162,0.01011,0.0012938,0.0012938,0.0012938
109,646.506,1.47919,1.44935,0.00492,0.60636,0.68293,0.68839,0.33859,1.67012,1.49162,0.01011,0.0012872,0.0012872,0.0012872
110,652.429,1.61292,1.54879,0.00547,0.60636,0.68293,0.68839,0.33859,1.67012,1.49162,0.01011,0.0012806,0.0012806,0.0012806
111,658.227,1.56252,1.59041,0.00562,0.63604,0.66779,0.6908,0.3546,1.69429,1.40608,0.00996,0.001274,0.001274,0.001274
112,664.143,1.43934,1.43243,0.00483,0.63604,0.66779,0.6908,0.3546,1.69429,1.40608,0.00996,0.0012674,0.0012674,0.0012674
113,670.32,1.597,1.57477,0.00539,0.67691,0.64228,0.71303,0.35959,1.62142,1.42908,0.00905,0.0012608,0.0012608,0.0012608
114,675.845,1.58155,1.53848,0.00538,0.67691,0.64228,0.71303,0.35959,1.62142,1.42908,0.00905,0.0012542,0.0012542,0.0012542
115,681.493,1.42717,1.45521,0.00492,0.67691,0.64228,0.71303,0.35959,1.62142,1.42908,0.00905,0.0012476,0.0012476,0.0012476
116,687.463,1.53684,1.5265,0.00541,0.66112,0.71545,0.72523,0.36192,1.61673,1.44297,0.009,0.001241,0.001241,0.001241
117,693.495,1.45475,1.50149,0.00481,0.66112,0.71545,0.72523,0.36192,1.61673,1.44297,0.009,0.0012344,0.0012344,0.0012344
118,699.502,1.72224,1.57922,0.00549,0.66112,0.71545,0.72523,0.36192,1.61673,1.44297,0.009,0.0012278,0.0012278,0.0012278
119,705.521,1.49562,1.43,0.00474,0.64157,0.72358,0.72016,0.37305,1.62671,1.43528,0.00914,0.0012212,0.0012212,0.0012212
120,711.264,1.4087,1.46758,0.00483,0.64157,0.72358,0.72016,0.37305,1.62671,1.43528,0.00914,0.0012146,0.0012146,0.0012146
121,717.734,1.52494,1.4511,0.0052,0.59068,0.71545,0.67648,0.34659,1.67071,1.43725,0.00983,0.001208,0.001208,0.001208
122,724.35,1.49888,1.48411,0.00506,0.59068,0.71545,0.67648,0.34659,1.67071,1.43725,0.00983,0.0012014,0.0012014,0.0012014
123,731.029,1.49382,1.5092,0.00483,0.59068,0.71545,0.67648,0.34659,1.67071,1.43725,0.00983,0.0011948,0.0011948,0.0011948
124,738.027,1.50264,1.56773,0.00544,0.62781,0.63415,0.66076,0.34207,1.64845,1.43674,0.00965,0.0011882,0.0011882,0.0011882
