epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,257.73,1.64462,1.6665,0.00488,0.57392,0.55442,0.56676,0.31058,1.65043,1.56584,0.00729,0.00144145,0.00144145,0.00144145
43,263.277,1.48325,1.84967,0.00543,0.57392,0.55442,0.56676,0.31058,1.65043,1.56584,0.00729,0.00143595,0.00143595,0.00143595
44,269.097,1.64474,1.70631,0.00488,0.53099,0.54951,0.54899,0.29603,1.68048,1.56671,0.00726,0.00143045,0.00143045,0.00143045
45,274.693,1.62352,1.73341,0.00516,0.53099,0.54951,0.54899,0.29603,1.68048,1.56671,0.00726,0.00142495,0.00142495,0.00142495
46,280.276,1.59794,1.63225,0.00467,0.53099,0.54951,0.54899,0.29603,1.68048,1.56671,0.00726,0.00141945,0.00141945,0.00141945
47,286.12,1.56552,1.68601,0.00486,0.58128,0.53943,0.56948,0.31474,1.65559,1.51639,0.00707,0.00141395,0.00141395,0.00141395
48,291.98,1.64961,1.73179,0.00498,0.58128,0.53943,0.56948,0.31474,1.65559,1.51639,0.00707,0.00140845,0.00140845,0.00140845
49,297.662,1.64504,1.56804,0.00471,0.59524,0.54805,0.6041,0.3402,1.60459,1.49975,0.00667,0.00140295,0.00140295,0.00140295
50,303.594,1.61807,1.63042,0.00494,0.59524,0.54805,0.6041,0.3402,1.60459,1.49975,0.00667,0.00139745,0.00139745,0.00139745
51,309.529,1.62836,1.52675,0.00458,0.59524,0.54805,0.6041,0.3402,1.60459,1.49975,0.00667,0.00139195,0.00139195,0.00139195
52,315.33,1.55986,1.77271,0.00534,0.64262,0.56079,0.6171,0.35134,1.62872,1.47018,0.00676,0.00138644,0.00138644,0.00138644
53,321.164,1.67794,1.66888,0.0051,0.64262,0.56079,0.6171,0.35134,1.62872,1.47018,0.00676,0.00138094,0.00138094,0.00138094
54,326.956,1.61348,1.51876,0.00455,0.64262,0.56079,0.6171,0.35134,1.62872,1.47018,0.00676,0.00137544,0.00137544,0.00137544
55,332.868,1.55026,1.56747,0.0046,0.65867,0.57444,0.65561,0.37704,1.59163,1.41922,0.00672,0.00136994,0.00136994,0.00136994
56,338.863,1.70217,1.5764,0.00446,0.65867,0.57444,0.65561,0.37704,1.59163,1.41922,0.00672,0.00136444,0.00136444,0.00136444
57,344.968,1.61895,1.66832,0.00522,0.62721,0.6088,0.6816,0.39786,1.58145,1.37786,0.00669,0.00135894,0.00135894,0.00135894
58,351.151,1.6376,1.47705,0.00447,0.62721,0.6088,0.6816,0.39786,1.58145,1.37786,0.00669,0.00135344,0.00135344,0.00135344
59,357.066,1.65876,1.65686,0.0051,0.62721,0.6088,0.6816,0.39786,1.58145,1.37786,0.00669,0.00134794,0.00134794,0.00134794
60,362.909,1.61751,1.44207,0.00436,0.60755,0.6125,0.67069,0.4101,1.58181,1.35309,0.00658,0.00134244,0.00134244,0.00134244
61,368.728,1.60577,1.60476,0.00501,0.60755,0.6125,0.67069,0.4101,1.58181,1.35309,0.00658,0.00133693,0.00133693,0.00133693
62,374.848,1.53774,1.458,0.00429,0.60755,0.6125,0.67069,0.4101,1.58181,1.35309,0.00658,0.00133143,0.00133143,0.00133143
63,380.62,1.57369,1.42079,0.00476,0.67065,0.56079,0.67354,0.40973,1.5778,1.37993,0.0065,0.00132593,0.00132593,0.00132593
64,386.417,1.63609,1.60579,0.00484,0.67065,0.56079,0.67354,0.40973,1.5778,1.37993,0.0065,0.00132043,0.00132043,0.00132043
65,392.619,1.65806,1.39936,0.00436,0.67957,0.5797,0.68038,0.40834,1.58637,1.34531,0.00659,0.00131493,0.00131493,0.00131493
