epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,6838.92,0.86928,0.9344,0.00324,0.81071,0.70338,0.80096,0.66786,0.67483,0.82617,0.00393,0.0017294,0.0017294,0.0017294
43,6993.26,0.84512,0.9456,0.00316,0.81982,0.6945,0.79527,0.66735,0.66825,0.82603,0.004,0.0017228,0.0017228,0.0017228
44,7146.94,0.82996,0.93439,0.00307,0.84151,0.67745,0.78791,0.65294,0.6867,0.83108,0.00408,0.0017162,0.0017162,0.0017162
45,7290.24,0.85378,0.94439,0.00321,0.81927,0.68217,0.78707,0.66158,0.67506,0.83235,0.00405,0.0017096,0.0017096,0.0017096
46,7432.8,0.84095,0.9414,0.00313,0.82454,0.66562,0.78053,0.65287,0.68088,0.84374,0.00408,0.001703,0.001703,0.001703
47,7576.13,0.82915,0.92986,0.00316,0.82609,0.69068,0.79275,0.65662,0.70777,0.83108,0.00414,0.0016964,0.0016964,0.0016964
48,7718.71,0.85139,0.92463,0.00317,0.81844,0.69224,0.79174,0.65952,0.70905,0.83021,0.00408,0.0016898,0.0016898,0.0016898
49,7859.46,0.83863,0.9343,0.00317,0.81249,0.68424,0.78448,0.66117,0.66198,0.83252,0.00402,0.0016832,0.0016832,0.0016832
50,8000.69,0.85639,0.9336,0.00333,0.84347,0.67406,0.79524,0.65637,0.71077,0.83452,0.00416,0.0016766,0.0016766,0.0016766
51,8144.4,0.8661,0.93339,0.00317,0.81638,0.68762,0.79388,0.67282,0.64403,0.81175,0.00373,0.00167,0.00167,0.00167
52,8287.58,0.81269,0.91353,0.00309,0.81452,0.68615,0.78376,0.64565,0.70547,0.83337,0.00406,0.0016634,0.0016634,0.0016634
53,8430.85,0.84079,0.92058,0.00312,0.84128,0.66441,0.77817,0.64031,0.71776,0.86629,0.00413,0.0016568,0.0016568,0.0016568
54,8573.01,0.81955,0.90512,0.00302,0.81676,0.69092,0.78934,0.66082,0.68452,0.84257,0.00407,0.0016502,0.0016502,0.0016502
55,8714.35,0.82263,0.91148,0.00297,0.829,0.68493,0.78995,0.66076,0.67911,0.83014,0.00395,0.0016436,0.0016436,0.0016436
56,8856.02,0.81512,0.91191,0.00307,0.82113,0.70042,0.79413,0.66446,0.6834,0.80961,0.00411,0.001637,0.001637,0.001637
57,8996.89,0.80632,0.90163,0.003,0.81209,0.69624,0.78445,0.65695,0.67319,0.83029,0.00393,0.0016304,0.0016304,0.0016304
58,9138.28,0.83149,0.89944,0.00313,0.81723,0.69935,0.79878,0.66894,0.6887,0.80403,0.00402,0.0016238,0.0016238,0.0016238
59,9280.68,0.81672,0.8983,0.00301,0.85691,0.67826,0.79924,0.67568,0.65175,0.79607,0.0039,0.0016172,0.0016172,0.0016172
60,9421.9,0.81873,0.88825,0.00301,0.84603,0.68828,0.79981,0.65968,0.71428,0.80977,0.00415,0.0016106,0.0016106,0.0016106
61,9564.4,0.81504,0.87992,0.00299,0.83242,0.69885,0.79733,0.67826,0.64165,0.78576,0.00373,0.001604,0.001604,0.001604
62,9704.95,0.81665,0.88995,0.00304,0.82379,0.68841,0.79037,0.65628,0.68505,0.84171,0.00398,0.0015974,0.0015974,0.0015974
63,9846.46,0.83285,0.89243,0.00299,0.80747,0.70703,0.79383,0.6692,0.66368,0.79141,0.00392,0.0015908,0.0015908,0.0015908
64,9987.07,0.79531,0.88324,0.00302,0.84645,0.69818,0.80827,0.68229,0.65391,0.78231,0.00377,0.0015842,0.0015842,0.0015842
65,10128.9,0.81231,0.88054,0.00303,0.85628,0.69344,0.79948,0.67777,0.64187,0.79606,0.00374,0.0015776,0.0015776,0.0015776
66,10271.6,0.79852,0.8716,0.00301,0.85642,0.68179,0.79778,0.68294,0.62287,0.79639,0.00368,0.001571,0.001571,0.001571
67,10415.5,0.81462,0.88623,0.003,0.85496,0.67971,0.79535,0.66948,0.67003,0.80783,0.00392,0.0015644,0.0015644,0.0015644
68,10556.1,0.80882,0.8769,0.00303,0.84836,0.69311,0.79712,0.68123,0.62835,0.79215,0.00367,0.0015578,0.0015578,0.0015578
69,10697,0.80465,0.86833,0.00295,0.85007,0.69638,0.80433,0.68544,0.64958,0.77005,0.00373,0.0015512,0.0015512,0.0015512
70,10838.9,0.79813,0.85942,0.00281,0.85463,0.69649,0.80345,0.67911,0.67076,0.76497,0.00389,0.0015446,0.0015446,0.0015446
71,10981.2,0.80439,0.86608,0.00297,0.8309,0.70042,0.7995,0.681,0.63958,0.80599,0.00373,0.001538,0.001538,0.001538
72,11123.2,0.78529,0.85563,0.00293,0.86196,0.68789,0.80432,0.68856,0.64579,0.76537,0.00379,0.0015314,0.0015314,0.0015314
73,11263.8,0.78676,0.8459,0.00306,0.874,0.68909,0.80302,0.67797,0.66361,0.76996,0.00398,0.0015248,0.0015248,0.0015248
74,11413.7,0.79713,0.85923,0.003,0.8383,0.68946,0.79561,0.66952,0.67323,0.79169,0.0039,0.0015182,0.0015182,0.0015182
75,11554.6,0.80257,0.86394,0.00292,0.85465,0.69885,0.8033,0.68331,0.64444,0.77191,0.00376,0.0015116,0.0015116,0.0015116
76,11696.1,0.80315,0.86684,0.003,0.85742,0.68128,0.80831,0.68859,0.63353,0.77548,0.0038,0.001505,0.001505,0.001505
77,11838.1,0.80137,0.85559,0.00291,0.84493,0.68442,0.79506,0.67102,0.67107,0.78137,0.00383,0.0014984,0.0014984,0.0014984
78,11978.6,0.80209,0.87196,0.003,0.86067,0.68671,0.80101,0.67708,0.65735,0.79739,0.00383,0.0014918,0.0014918,0.0014918
79,12120,0.79668,0.86046,0.00292,0.85243,0.69781,0.80236,0.68539,0.62647,0.78261,0.00367,0.0014852,0.0014852,0.0014852
80,12261.9,0.79247,0.85519,0.00285,0.85949,0.69489,0.81047,0.69672,0.6226,0.76235,0.00371,0.0014786,0.0014786,0.0014786
81,12402.9,0.78615,0.84673,0.00292,0.85729,0.70127,0.8072,0.68661,0.65406,0.74983,0.00377,0.001472,0.001472,0.001472
82,12544.3,0.77042,0.83163,0.00277,0.86565,0.69903,0.8093,0.68854,0.64279,0.75974,0.00384,0.0014654,0.0014654,0.0014654
83,12687.4,0.78451,0.84927,0.0029,0.87839,0.69739,0.81551,0.6938,0.65067,0.7532,0.00375,0.0014588,0.0014588,0.0014588
84,12831.3,0.78867,0.85106,0.00291,0.85798,0.69398,0.80546,0.67996,0.66555,0.78053,0.00392,0.0014522,0.0014522,0.0014522
85,12973.4,0.78309,0.84036,0.0029,0.85568,0.70511,0.80982,0.69443,0.62425,0.7674,0.00367,0.0014456,0.0014456,0.0014456
86,13114.5,0.78882,0.84574,0.00281,0.86415,0.68928,0.80153,0.68584,0.63399,0.7765,0.0036,0.001439,0.001439,0.001439
87,13256.6,0.77443,0.84086,0.00288,0.85798,0.70598,0.81071,0.69198,0.63184,0.73813,0.00373,0.0014324,0.0014324,0.0014324
88,13398.8,0.769,0.82803,0.0028,0.88027,0.69067,0.81119,0.6908,0.64413,0.76754,0.00373,0.0014258,0.0014258,0.0014258
89,13539.2,0.77744,0.83542,0.00289,0.85455,0.70322,0.80736,0.6927,0.61839,0.7736,0.00363,0.0014192,0.0014192,0.0014192
90,13680.3,0.76532,0.83155,0.00283,0.87173,0.70114,0.8163,0.70622,0.60472,0.74692,0.00353,0.0014126,0.0014126,0.0014126
91,13823.1,0.77534,0.83229,0.00285,0.87563,0.70251,0.81024,0.68955,0.62729,0.73176,0.00356,0.001406,0.001406,0.001406
92,13966.2,0.75974,0.83237,0.00279,0.87834,0.70859,0.81685,0.70841,0.59454,0.72565,0.00354,0.0013994,0.0013994,0.0013994
93,14108.3,0.7841,0.83972,0.00283,0.87272,0.69798,0.81671,0.6998,0.63751,0.73121,0.00368,0.0013928,0.0013928,0.0013928
94,14249,0.75372,0.81832,0.0028,0.87354,0.70111,0.81499,0.69529,0.63623,0.73884,0.00373,0.0013862,0.0013862,0.0013862
95,14390.5,0.76768,0.83109,0.00283,0.87996,0.6985,0.81776,0.70274,0.6091,0.73488,0.00356,0.0013796,0.0013796,0.0013796
96,14531.7,0.76524,0.82456,0.0028,0.87816,0.70216,0.80983,0.68708,0.65366,0.74778,0.00378,0.001373,0.001373,0.001373
97,14673.6,0.74898,0.83229,0.00281,0.87073,0.70311,0.8138,0.706,0.59915,0.72692,0.00348,0.0013664,0.0013664,0.0013664
98,14815.2,0.75945,0.82218,0.00278,0.87973,0.70243,0.81747,0.70368,0.61762,0.73537,0.00355,0.0013598,0.0013598,0.0013598
99,14960.9,0.75137,0.81396,0.00274,0.89167,0.69137,0.81985,0.71211,0.59688,0.73561,0.00347,0.0013532,0.0013532,0.0013532
